Id,Título,Questão,Tags,Pontuação,Visualizações
"2402","Como fazer hash de senhas de forma segura?","<p>Se eu fizer o <em><a href=""http://pt.wikipedia.org/wiki/Fun%C3%A7%C3%A3o_de_embaralhamento_criptogr%C3%A1fico"" rel=""noreferrer"">hash</a></em> de senhas antes de armazená-las em meu banco de dados é suficiente para evitar que elas sejam recuperadas por alguém?</p>

<p>Estou falando apenas da recuperação diretamente do banco de dados e não qualquer outro tipo de ataque, como <a href=""http://pt.wikipedia.org/wiki/Ataque_de_for%C3%A7a_bruta"" rel=""noreferrer"">força bruta</a> na página de login da aplicação, <em><a href=""http://pt.wikipedia.org/wiki/Keylogger"" rel=""noreferrer"">keylogger</a></em> no cliente e <a href=""http://pt.wikipedia.org/wiki/Criptoan%C3%A1lise_de_mangueira_de_borracha"" rel=""noreferrer"">criptoanálise <em>rubberhose</em></a>. Qualquer forma de <em>hash</em> não vai impedir esses ataques.</p>

<p>Tenho preocupação em dificultar ou até impossibilitar a obtenção das senhas originais caso o banco de dados seja comprometido. Como dar maior garantia de segurança neste aspecto?</p>

<p>Quais preocupações adicionais evitariam o acesso às senhas? Existem formas melhores de fazer esse <em>hash</em>?</p>
","<hash><segurança><senhas><criptografia>","350","22367"
"6441","Qual é a diferença entre INNER JOIN e OUTER JOIN?","<p>Qual é a diferença entre <code>INNER JOIN</code> e <code>OUTER JOIN</code>? Podem me dar alguns exemplos?</p>
","<sql><join>","276","176953"
"579","Por que não devemos usar funções do tipo mysql_*?","<p>Uma dúvida muito comum é por que devemos parar de usar funções do tipo mysql_* ? Por exemplo <code>mysql_query()</code>, ou <code>mysql_connect()</code>.</p>

<p>Vejo que muitas pessoas as usam, ou param de usar mas não sabem o real motivo. Por que elas deveriam parar de ser usadas uma vez que funcionam?</p>
","<php><mysql>","226","9761"
"2539","As mensagens de erro devem se desculpar?","<p>É comum encontrar uma mensagem de erro que diz: ""<em>Desculpe, você não tem permissão para acessar esta função. Entre em contato com o administrador para obter ajuda.</em>"" </p>

<p>É apropriado um ""pedido de desculpas"" neste caso?</p>

<p>É um caso claro que o problema não é culpa do sistema/plataforma/provedor do serviço. Então por que deveria existir esse pedido de desculpas? Isso é importante?</p>

<p>Tem alguma fonte de informação autoritativa que justifique o seu uso?</p>

<p>Note que não estou perguntando se você usa de um jeito ou de outro, e o que você acha que é certo. <strong>Respostas com opiniões sem base são inválidas e devem ser votadas negativamente</strong>. Informações que indiquem com clareza e justificativa de qual o motivo do uso, ou não, são construtivas.</p>
","<aplicação-web><gui><console><ux>","214","5075"
"17501","Qual é a diferença de API, biblioteca e Framework?","<p>Me parecem termos muito próximos e eventualmente vejo textos que trocam um pelo outro, como se em algumas determinadas situações suas definições se sobreponham.</p>

<p>Quais seriam as definições técnicas que permitem distinguir o que é API, biblioteca e Framework?</p>

<p>Em quais situações é permitido intercambiar os termos sem ferir sua definição técnica?</p>
","<api><framework><terminologia><biblioteca>","193","54191"
"3864","Como prevenir injeção de código SQL no meu código PHP?","<p>Desenvolvi uma página em PHP para uso interno da empresa que trabalho e apenas pouquíssimas pessoas a utilizam. Através dessa página é possível fazer algumas consultas, inserções, alterações e remoções de dados de uma tabela em um banco de dados MySQL, porém eu acredito que meu código em PHP não está protegido contra injeção de código SQL, por exemplo:</p>

<pre><code>//----CONSULTA SQL----//
$busca = mysql_query ('insert into Produtos (coluna) values(' . $valor . ')');
</code></pre>

<p>Logo, digamos que o usuário usar a sentença: <code>1); DROP TABLE Produtos;</code> para ao campo <code>valor</code> o comando ficaria: </p>

<pre><code>insert into Produtos (coluna) values(1); DROP TABLE Produtos;
</code></pre>

<p>Ele vai inserir um novo registro cujo o campo <code>coluna</code> será <code>1</code> e logo em seguida ele vai deletar a tabela Produtos.</p>

<p>Como posso melhorar meu código para prevenir essa situação?</p>
","<php><mysql><sql><sql-injection>","180","10243"
"3797","O que são e onde estão o ""stack"" e ""heap""?","<p>O que são esses tais de <em>stack</em> e <em>heap</em> que tanto se fala em gerenciamento de memória?</p>

<p>Isso realmente são porções da memória como algumas pessoas falam ou é apenas um conceito abstrato para facilitar o entendimento da forma como se gerencia a memória?</p>

<p>Algum deles é mais rápido que o outro? Se um é claramente mais rápido, por que existe o outro?</p>

<p>Faz diferença se estou usando, por exemplo, Assembly, C, Java, ou Javascript, Windows ou Linux? Isso é controlado pela ""linguagem"" ou pelo sistema operacional?</p>

<p>Enfim, queria entender melhor esse conceito que parece ser mal compreendido pelos programadores. Seria muito útil uma explicação para quem está começando ou aprendeu isso de forma errada.</p>
","<memória><gerenciamento-de-memória><stack><heap>","179","24733"
"45783","O que é REST e RESTful?","<p>Sempre ouço falar de <code>REST</code> e <code>RESTful</code>, mas não sei diferenciar um do outro nem para que servem. </p>

<p>Me pareceu algo com padrão de arquitetura de aplicação estilo Common.js.</p>
","<api><rest><http><arquitetura-de-software><restful>","164","118348"
"9026","Como é gerada a randomização pelo computador?","<h2>Dúvidas</h2>

<ol>
<li>Como é feita a randomização pelo computador?</li>
<li>Qual algorítimo ou qual base matemática o computador usa para gerar
esses números?</li>
</ol>

<h2>Por exemplo:</h2>

<p>No JavaScript utilizo o <a href=""https://developer.mozilla.org/pt-BR/docs/Web/JavaScript/Reference/Global_Objects/Math/random""><code>Math.random()</code></a> ele me retorna diferentes números todas as vezes como por exemplo: 
<code>0.8908976025413722, 0.7090631313621998</code> e etc.</p>
","<javascript><matemática><números-aleatórios><random>","160","4057"
"400","Como buscar um endereço por CEP nos Correios?","<p>Como busco nos Correios os detalhes de um endereço utilizando seu CEP (similar aos cadastros de endereço que vemos nos sites de e-commerce)?</p>
","<cep><correios><código-postal><brasil><e-dne>","153","68055"
